run,profile,stage_index,stage_id,stage_name,req_level,boss_level,unlock_wins,reached,cleared,entry_highest_level,boss_start_highest_level,clear_highest_level,normalBattles,normalCombatWins,scoutWins,normalLosses,scoutEncounters,bossAttempts,bossLosses,bossTurns,recruitmentBossBattles,recruitmentBossLosses,totalBattles,totalTurns,guardTurns,maxGuardStreak,maxBattleTurns,battles50Plus,guardLoopBattles,stalledBattles,kos,trainingBooks,fusions,levelRecoveryBattles,gold_at_entry,gold_at_clear,scenario
9,collector,2,cave,こだま洞くつ,3,7,2,1,1,8,8,12,11,10,1,0,2,4,3,69,1,0,16,109,4,1,23,0,0,0,7,14,0,0,2284,1823,control
9,collector,3,brook,しずく湖畔,5,10,3,1,1,12,12,14,9,7,2,0,7,3,2,26,5,5,17,76,0,0,14,0,0,0,23,14,0,0,2397,1791,control
9,collector,4,volcano,ほむら火山,8,14,4,1,1,14,12,16,17,13,3,1,10,5,4,81,5,5,27,162,3,1,24,0,0,0,34,25,0,0,947,1607,control
9,collector,5,tower,星晶の塔,12,20,5,1,1,16,17,21,30,26,3,1,9,9,8,56,5,5,44,266,9,1,18,0,0,0,51,31,0,0,851,3505,control
10,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,18,4,1,13,10,4,3,26,0,0,22,82,0,0,8,0,0,0,19,5,0,0,230,694,control
10,rush,2,cave,こだま洞くつ,3,7,2,1,1,6,7,11,8,7,1,0,2,7,6,57,0,0,15,77,0,0,10,0,0,0,19,16,0,0,694,1689,control
10,rush,3,brook,しずく湖畔,5,10,3,1,1,11,11,14,5,5,0,0,0,3,2,17,0,0,8,26,0,0,7,0,0,0,8,24,0,0,1689,1178,control
10,rush,4,volcano,ほむら火山,8,14,4,1,1,14,14,20,20,20,0,0,0,17,16,92,0,0,37,138,0,0,7,0,0,0,50,60,0,0,1178,1294,control
10,rush,5,tower,星晶の塔,12,20,5,1,0,20,21,0,45,45,0,0,0,40,40,174,0,0,85,304,0,0,7,0,0,0,130,112,0,0,1294,0,control
11,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,4,2,0,4,3,2,35,2,0,11,72,7,1,15,0,0,0,8,5,0,0,230,911,control
11,balanced,2,cave,こだま洞くつ,3,7,2,1,1,8,9,12,6,6,0,0,2,3,2,41,2,2,11,75,5,1,14,0,0,0,13,26,0,0,2387,1569,control
11,balanced,3,brook,しずく湖畔,5,10,3,1,1,12,12,14,5,4,1,0,4,2,1,11,2,2,9,39,1,1,9,0,0,0,12,17,0,0,1216,1182,control
11,balanced,4,volcano,ほむら火山,8,14,4,1,1,14,14,19,21,19,1,1,4,9,8,66,2,2,32,123,3,1,14,0,0,0,37,50,0,0,917,1528,control
11,balanced,5,tower,星晶の塔,12,20,5,1,1,19,18,22,19,18,1,0,4,8,7,34,2,2,29,91,0,0,7,0,0,0,33,45,0,0,1184,3027,control
12,collector,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,8,7,1,0,5,3,2,22,4,3,15,78,5,1,10,0,0,0,12,0,0,0,230,1151,control
12,collector,2,cave,こだま洞くつ,3,7,2,1,1,6,7,10,5,3,2,0,7,2,1,38,5,5,12,120,3,1,22,0,0,0,14,5,0,0,863,3112,control
12,collector,3,brook,しずく湖畔,5,10,3,1,1,10,10,13,9,8,1,0,6,3,2,45,5,4,17,94,1,1,16,0,0,0,14,10,0,0,1644,1652,control
12,collector,4,volcano,ほむら火山,8,14,4,1,1,13,14,20,35,32,2,1,8,11,10,71,5,5,51,181,9,1,11,0,0,0,49,32,0,0,1199,1629,control
12,collector,5,tower,星晶の塔,12,20,5,1,1,20,18,23,33,27,2,4,13,9,8,47,5,5,47,196,7,1,11,0,0,0,57,27,0,0,861,3464,control
13,rush,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,7,2,1,4,5,2,1,13,0,0,9,29,0,0,8,0,0,0,7,5,0,0,230,746,control
13,rush,2,cave,こだま洞くつ,3,7,2,1,1,6,6,10,6,5,1,0,1,5,4,35,0,0,11,51,0,0,9,0,0,0,14,18,0,0,746,1362,control
13,rush,3,brook,しずく湖畔,5,10,3,1,1,10,11,13,4,4,0,0,0,2,1,10,0,0,6,17,0,0,6,0,0,0,5,20,0,0,1362,1461,control
13,rush,4,volcano,ほむら火山,8,14,4,1,1,13,14,18,21,21,0,0,0,18,17,87,0,0,39,134,0,0,7,0,0,0,54,43,0,0,1461,971,control
13,rush,5,tower,星晶の塔,12,20,5,1,0,18,20,0,45,45,0,0,0,40,40,203,0,0,85,325,0,0,7,0,0,0,127,137,0,0,971,0,control
14,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,4,2,0,3,3,2,38,1,0,10,63,5,1,16,0,0,0,10,5,0,0,230,910,control
14,balanced,2,cave,こだま洞くつ,3,7,2,1,1,6,7,11,6,6,0,0,2,3,2,49,1,0,10,90,3,1,23,0,0,0,5,19,0,0,1408,2433,control
14,balanced,3,brook,しずく湖畔,5,10,3,1,1,12,7,12,9,8,1,0,3,4,3,17,2,2,15,45,2,1,6,0,0,0,10,30,0,0,2567,1453,control
14,balanced,4,volcano,ほむら火山,8,14,4,1,1,12,13,16,10,9,1,0,4,4,3,28,2,2,16,66,3,1,13,0,0,0,15,29,0,0,1126,1193,control
14,balanced,5,tower,星晶の塔,12,20,5,1,1,16,17,22,17,16,1,0,3,7,6,44,2,2,26,83,3,1,10,0,0,0,25,50,0,0,924,3061,control
15,collector,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,5,3,2,0,3,2,1,20,1,0,8,38,2,1,10,0,0,0,5,0,0,0,230,1260,control
15,collector,2,cave,こだま洞くつ,3,7,2,1,1,6,6,11,8,7,1,0,4,3,2,51,2,1,13,117,3,1,23,0,0,0,7,8,0,0,1518,2946,control
15,collector,3,brook,しずく湖畔,5,10,3,1,1,11,11,14,9,8,1,0,6,3,2,16,5,5,17,59,1,1,8,0,0,0,15,13,0,0,2987,2361,control
15,collector,4,volcano,ほむら火山,8,14,4,1,1,14,14,17,13,11,2,0,8,4,3,21,5,5,22,84,5,1,7,0,0,0,26,16,0,0,1247,2790,control
15,collector,5,tower,星晶の塔,12,20,5,1,1,17,16,21,21,19,1,1,9,6,5,28,5,5,32,109,4,1,8,0,0,0,36,23,0,0,1474,3466,control
16,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,7,11,4,1,6,7,4,3,30,0,0,15,61,0,0,9,0,0,0,13,7,0,0,230,684,control
16,rush,2,cave,こだま洞くつ,3,7,2,1,1,7,7,10,6,4,1,1,2,4,3,33,0,0,10,51,0,0,9,0,0,0,13,14,0,0,684,676,control
16,rush,3,brook,しずく湖畔,5,10,3,1,1,10,11,13,4,4,0,0,0,2,1,9,0,0,6,17,0,0,6,0,0,0,4,23,0,0,676,1264,control
16,rush,4,volcano,ほむら火山,8,14,4,1,1,13,14,17,12,12,0,0,0,9,8,52,0,0,21,75,0,0,7,0,0,0,26,31,0,0,1264,993,control
16,rush,5,tower,星晶の塔,12,20,5,1,0,17,18,0,46,45,0,1,0,40,40,184,0,0,86,299,0,0,6,0,0,0,127,130,0,0,993,0,control
17,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,7,5,1,1,3,3,2,27,2,0,12,68,4,1,15,0,0,0,7,5,0,0,230,895,control
17,balanced,2,cave,こだま洞くつ,3,7,2,1,1,8,9,10,4,3,1,0,3,2,1,26,2,2,8,58,2,1,13,0,0,0,12,10,0,0,1671,2696,control
17,balanced,3,brook,しずく湖畔,5,10,3,1,1,10,11,13,5,4,1,0,4,2,1,16,2,2,9,40,0,0,9,0,0,0,11,13,0,0,2089,2066,control
17,balanced,4,volcano,ほむら火山,8,14,4,1,1,13,11,17,19,17,1,1,6,8,7,48,2,2,29,118,5,1,8,0,0,0,37,45,0,0,1601,1540,control
17,balanced,5,tower,星晶の塔,12,20,5,1,1,17,17,28,58,56,1,1,5,27,26,123,2,2,87,248,3,1,8,0,0,0,90,133,0,0,1194,3049,control
18,collector,1,meadow,はじまり草原,1,4,2,1,1,1,3,7,14,13,1,0,4,5,4,54,3,2,22,117,6,1,14,0,0,0,14,1,0,0,230,1328,control
18,collector,2,cave,こだま洞くつ,3,7,2,1,1,7,8,11,8,7,1,0,4,3,2,62,3,1,14,124,4,1,26,0,0,0,8,9,0,0,1107,2160,control
18,collector,3,brook,しずく湖畔,5,10,3,1,1,12,8,13,15,14,1,0,7,5,4,25,5,5,25,75,2,1,7,0,0,0,19,21,0,0,2353,2216,control
18,collector,4,volcano,ほむら火山,8,14,4,1,1,13,14,18,23,20,2,1,8,7,6,65,5,5,35,182,5,1,17,0,0,0,41,21,1,0,1171,2849,control
18,collector,5,tower,星晶の塔,12,20,5,1,1,18,18,23,36,29,3,4,12,10,9,214,5,5,51,431,2,1,59,1,0,0,63,39,0,0,1506,2239,control
19,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,7,7,3,1,3,4,3,2,21,0,0,10,40,0,0,9,0,0,0,8,8,0,0,230,665,control
19,rush,2,cave,こだま洞くつ,3,7,2,1,1,7,7,11,11,10,1,0,1,10,9,75,0,0,21,98,0,0,10,0,0,0,29,21,0,0,665,1373,control
19,rush,3,brook,しずく湖畔,5,10,3,1,1,11,12,14,5,5,0,0,0,3,2,16,0,0,8,24,0,0,7,0,0,0,8,21,0,0,1373,1174,control
19,rush,4,volcano,ほむら火山,8,14,4,1,0,14,15,0,44,44,0,0,0,40,40,194,0,0,84,307,0,0,6,0,0,0,127,87,0,0,1174,0,control
19,rush,5,tower,星晶の塔,12,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,control
20,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,4,2,0,4,3,2,36,2,0,11,72,6,1,14,0,0,0,9,5,0,0,230,908,control
20,balanced,2,cave,こだま洞くつ,3,7,2,1,1,8,8,12,8,7,1,0,2,4,3,62,1,0,13,88,4,1,18,0,0,0,13,22,0,0,2564,1713,control
20,balanced,3,brook,しずく湖畔,5,10,3,1,1,10,12,15,7,6,1,0,3,3,2,22,2,2,12,45,0,0,10,0,0,0,13,31,0,0,2347,1092,control
20,balanced,4,volcano,ほむら火山,8,14,4,1,1,15,15,21,20,19,1,0,4,9,8,70,2,2,31,126,7,1,15,0,0,0,33,51,0,0,846,2420,control
20,balanced,5,tower,星晶の塔,12,20,5,1,1,21,20,28,45,44,1,0,3,21,20,105,2,2,68,189,7,1,10,0,0,0,68,113,0,0,1875,1859,control
21,collector,1,meadow,はじまり草原,1,4,2,1,1,1,2,7,15,13,1,1,2,5,4,51,1,0,21,96,9,1,13,0,0,0,12,0,0,0,230,1298,control
21,collector,2,cave,こだま洞くつ,3,7,2,1,1,7,8,11,8,7,1,0,6,3,2,33,5,5,16,94,4,1,14,0,0,0,23,10,0,0,2276,2323,control
21,collector,3,brook,しずく湖畔,5,10,3,1,1,11,11,14,15,14,1,0,6,5,4,37,5,5,25,96,3,1,13,0,0,0,28,11,0,0,1227,2202,control
21,collector,4,volcano,ほむら火山,8,14,4,1,1,14,13,15,10,6,4,0,9,3,2,18,5,5,18,75,3,1,9,0,0,0,24,15,0,0,1164,1945,control
21,collector,5,tower,星晶の塔,12,20,5,1,1,15,16,17,9,6,2,1,10,2,1,10,5,5,16,71,1,1,8,0,0,0,27,11,0,0,1028,2277,control
22,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,7,4,3,1,0,1,3,2,18,0,0,7,26,0,0,7,0,0,0,5,8,0,0,230,708,control
22,rush,2,cave,こだま洞くつ,3,7,2,1,1,7,7,10,6,5,1,0,1,5,4,41,0,0,11,55,0,0,11,0,0,0,14,16,0,0,708,1358,control
22,rush,3,brook,しずく湖畔,5,10,3,1,1,10,11,13,5,5,0,0,0,3,2,19,0,0,8,30,0,0,7,0,0,0,9,25,0,0,1358,1130,control
22,rush,4,volcano,ほむら火山,8,14,4,1,1,13,14,18,17,17,0,0,0,14,13,81,0,0,31,114,0,0,7,0,0,0,41,44,0,0,1130,940,control
22,rush,5,tower,星晶の塔,12,20,5,1,0,18,19,0,45,45,0,0,0,40,40,198,0,0,85,310,0,0,7,0,0,0,123,125,0,0,940,0,control
23,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,8,4,2,2,6,3,2,34,2,1,13,79,5,1,14,0,0,0,13,5,0,0,230,865,control
23,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,7,10,4,3,1,0,3,2,1,32,2,2,8,65,2,1,24,0,0,0,12,8,0,0,1020,2487,control
23,balanced,3,brook,しずく湖畔,5,10,3,1,1,10,11,13,5,4,1,0,3,2,1,17,2,2,9,38,0,0,9,0,0,0,11,15,0,0,1927,2254,control
23,balanced,4,volcano,ほむら火山,8,14,4,1,1,13,13,18,22,21,1,0,4,10,9,66,2,2,34,123,6,1,11,0,0,0,36,39,0,0,1746,2482,control
23,balanced,5,tower,星晶の塔,12,20,5,1,1,18,18,26,39,38,1,0,4,18,17,78,2,2,59,167,6,1,8,0,0,0,61,112,0,0,1923,1876,control
24,collector,1,meadow,はじまり草原,1,4,2,1,1,1,3,7,13,10,1,2,4,4,3,38,1,0,18,69,7,1,13,0,0,0,8,0,0,0,230,1047,control
24,collector,2,cave,こだま洞くつ,3,7,2,1,1,7,7,10,6,3,2,1,4,2,1,18,1,0,9,45,4,1,10,0,0,0,9,3,0,0,1125,3130,control
24,collector,3,brook,しずく湖畔,5,10,3,1,1,9,8,10,6,3,3,0,8,2,1,11,5,5,13,54,0,0,7,0,0,0,20,4,0,0,3524,3481,control
24,collector,4,volcano,ほむら火山,8,14,4,1,1,10,10,16,25,20,2,3,11,7,6,60,5,5,37,233,5,1,16,0,0,0,53,38,0,0,1840,1600,control
24,collector,5,tower,星晶の塔,12,20,5,1,1,16,16,22,29,27,2,0,8,9,8,84,5,5,43,237,3,1,22,0,0,0,46,29,0,0,846,3522,control
25,rush,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,6,2,1,3,3,2,1,17,0,0,8,34,0,0,11,0,0,0,6,5,0,0,230,757,control
25,rush,2,cave,こだま洞くつ,3,7,2,1,1,6,6,10,6,5,1,0,1,5,4,45,0,0,11,61,0,0,10,0,0,0,15,17,0,0,757,709,control
25,rush,3,brook,しずく湖畔,5,10,3,1,1,10,10,14,8,8,0,0,0,6,5,34,0,0,14,50,0,0,7,0,0,0,17,27,0,0,709,1172,control
25,rush,4,volcano,ほむら火山,8,14,4,1,1,14,15,20,23,23,0,0,0,20,19,115,0,0,43,171,0,0,7,0,0,0,59,63,0,0,1172,1297,control
25,rush,5,tower,星晶の塔,12,20,5,1,0,20,21,0,45,45,0,0,0,40,40,181,0,0,85,302,0,0,7,0,0,0,126,115,0,0,1297,0,control
26,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,5,1,0,2,3,2,26,1,0,10,51,2,1,11,0,0,0,6,6,0,0,230,870,control
26,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,7,11,6,5,1,0,3,3,2,31,2,1,11,64,4,1,15,0,0,0,13,18,0,0,948,2339,control
26,balanced,3,brook,しずく湖畔,5,10,3,1,1,10,10,12,5,5,0,0,5,2,1,9,2,2,9,31,0,0,6,0,0,0,6,9,0,0,2433,2593,control
26,balanced,4,volcano,ほむら火山,8,14,4,1,1,12,13,17,14,13,1,0,4,6,5,40,2,2,22,77,8,1,8,0,0,0,23,47,0,0,2009,1266,control
26,balanced,5,tower,星晶の塔,12,20,5,1,1,17,18,27,44,43,0,1,7,20,19,104,2,2,66,226,12,1,8,0,0,0,70,110,0,0,982,3107,control
27,collector,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,10,6,2,2,6,3,2,35,3,1,16,90,5,1,15,0,0,0,15,0,0,0,230,1124,control
27,collector,2,cave,こだま洞くつ,3,7,2,1,1,7,7,11,11,9,2,0,7,4,3,58,5,4,20,133,2,1,18,0,0,0,24,15,0,0,2446,2047,control
27,collector,3,brook,しずく湖畔,5,10,3,1,1,12,10,12,6,4,2,0,7,2,1,13,5,5,13,48,0,0,9,0,0,0,20,5,0,0,1430,1446,control
27,collector,4,volcano,ほむら火山,8,14,4,1,1,12,10,14,10,7,3,0,9,3,2,13,5,5,18,84,1,1,14,0,0,0,27,10,0,0,765,4376,control
27,collector,5,tower,星晶の塔,12,20,5,1,1,14,17,20,21,17,3,1,9,6,5,120,5,5,32,191,3,1,67,1,0,0,37,29,0,0,2311,2325,control
28,rush,1,meadow,はじまり草原,1,4,2,1,1,1,3,8,8,8,0,0,1,7,6,29,0,0,15,46,0,0,5,0,0,0,6,10,0,0,230,747,control
28,rush,2,cave,こだま洞くつ,3,7,2,1,1,8,8,12,9,7,1,1,3,7,6,39,0,0,16,56,0,0,7,0,0,0,13,28,0,0,747,698,control
28,rush,3,brook,しずく湖畔,5,10,3,1,1,12,12,14,4,3,1,0,2,2,1,11,0,0,6,22,0,0,6,0,0,0,5,9,0,0,698,1182,control
28,rush,4,volcano,ほむら火山,8,14,4,1,1,14,15,18,9,9,0,0,0,6,5,34,0,0,15,52,0,0,6,0,0,0,18,37,0,0,1182,957,control
28,rush,5,tower,星晶の塔,12,20,5,1,1,18,19,26,35,34,0,1,0,30,29,136,0,0,65,209,0,0,6,0,0,0,99,100,0,0,957,1561,control
29,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,3,7,10,10,0,0,2,5,4,32,2,2,17,65,4,1,9,0,0,0,6,7,0,0,230,741,control
29,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,7,12,8,6,2,0,3,4,3,43,1,0,13,72,2,1,12,0,0,0,13,23,0,0,575,1123,control
29,balanced,3,brook,しずく湖畔,5,10,3,1,1,11,12,15,7,6,1,0,3,3,2,13,2,2,12,35,1,1,8,0,0,0,9,24,0,0,2097,1317,control
29,balanced,4,volcano,ほむら火山,8,14,4,1,1,15,11,16,14,13,1,0,4,6,5,26,2,2,22,62,3,1,7,0,0,0,14,36,0,0,1020,1539,control
29,balanced,5,tower,星晶の塔,12,20,5,1,1,16,17,25,42,40,1,1,7,19,18,70,2,2,63,167,4,1,7,0,0,0,44,90,0,0,1193,2752,control
30,collector,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,9,6,2,1,3,3,2,31,1,0,13,76,6,1,13,0,0,0,13,0,0,0,230,1147,control
30,collector,2,cave,こだま洞くつ,3,7,2,1,1,6,4,10,8,6,2,0,4,3,2,35,2,0,13,84,2,1,17,0,0,0,5,6,0,0,1405,3112,control
30,collector,3,brook,しずく湖畔,5,10,3,1,1,10,10,13,9,7,2,0,7,3,2,15,5,5,17,67,0,0,8,0,0,0,24,10,0,0,3380,2756,control
30,collector,4,volcano,ほむら火山,8,14,4,1,1,13,10,16,13,11,2,0,7,4,3,29,5,5,22,88,3,1,11,0,0,0,28,26,0,0,1456,3881,control
30,collector,5,tower,星晶の塔,12,20,5,1,1,16,16,20,23,19,1,3,10,6,5,31,5,5,34,142,3,1,21,0,0,0,43,23,0,0,2051,2644,control
31,rush,1,meadow,はじまり草原,1,4,2,1,1,1,3,7,5,3,1,1,3,3,2,19,0,0,8,30,0,0,8,0,0,0,6,8,0,0,230,704,control
31,rush,2,cave,こだま洞くつ,3,7,2,1,1,7,7,10,4,3,1,0,2,3,2,26,0,0,7,39,0,0,11,0,0,0,8,15,0,0,704,546,control
31,rush,3,brook,しずく湖畔,5,10,3,1,1,10,10,14,6,6,0,0,0,4,3,24,0,0,10,37,0,0,8,0,0,0,10,25,0,0,546,1190,control
31,rush,4,volcano,ほむら火山,8,14,4,1,1,14,14,20,24,24,0,0,0,21,20,123,0,0,45,164,0,0,7,0,0,0,62,65,0,0,1190,1261,control
31,rush,5,tower,星晶の塔,12,20,5,1,0,20,21,0,45,45,0,0,0,40,40,200,0,0,85,308,0,0,7,0,0,0,123,111,0,0,1261,0,control
32,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,7,8,5,1,2,3,3,2,31,1,0,12,68,5,1,13,0,0,0,8,5,0,0,230,876,control
32,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,7,11,6,5,1,0,3,3,2,50,2,1,11,92,4,1,24,0,0,0,7,18,0,0,954,2530,control
