run,profile,profile_label,seed,initialStateHash,status,completed,failed_stage,failure_reason,maxBattles,maxTurnsPerBattle,maxBossLosses,totalBattles,normalBattles,bossBattles,totalTurns,wins,losses,kos,guardTurns,maxGuardStreak,maxBattleTurns,guardLoopBattles,battles50Plus,battles100Plus,stalledBattles,timerOrTurnCaps,scoutAttempts,scoutSuccesses,scoutCharmPurchases,scoutCharmGold,scoutCharmConsumed,scoutCharmWasted,zeroRewardScoutWins,scoutEncountersByStage,scoutSuccessesByStage,fusions,fusionLevelDebt,levelRecoveryBattles,equips,trainingBooks,trainingGold,freeHeals,freeHealPoints,questClaims,questGold,rankClaims,rankGold,battleGold,defeatGoldLost,firstBRankBattle,firstARankBattle,firstSRankBattle,minGold,actions,finalGold,finalHighestLevel,finalPlayerRank,finalOwned,finalDexDiscovered,finalDexScouted,finalParty,finalPartyData,bossesCleared,goldInflow,goldSink,goldSinkRate,charmWasteRate,sourceRandomCalls,scenario
11,balanced,バランス,2664149452,f34e06c0d9677ddd1c97579c425162bf28e50cac3e6e8ce8d1fa515a854a84e5,completed,1,,,400,200,40,106,66,40,494,73,33,106,12,1,20,0,0,0,0,0,15,6,0,0,1,1,5,[object Object],[object Object],0,0,0,7,157,9420,106,4817,27,8180,5,1100,7111,4424,,,,80,[object Object],2627,24,6,7,23,7,ルミネル Lv22 / ドリモール Lv24 / アクアン Lv24,"[object Object],[object Object],[object Object]",5,16471,13844,0.8405075587396029,1,2953,control
12,collector,収集・配合,1618572275,df73dae460ccef5cbdce3cf2778d9234ea0b01b242bfde6f0d9ba2ec2ecad762,completed,1,,,400,200,40,91,58,33,413,66,25,70,18,1,20,0,0,0,0,0,25,13,40,2000,41,33,10,[object Object],[object Object],0,0,0,10,55,3300,91,3291,28,8780,4,750,4399,6299,72,,,80,[object Object],2410,17,5,14,23,14,クラッグベア Lv16 / シンダーホーン Lv17 / クリスタゴン Lv17,"[object Object],[object Object],[object Object]",5,14009,11599,0.8279677350274823,0.8048780487804879,2491,control
13,rush,速攻,3344903446,0a519af1b74e05650d46cd11e88c0e2d14e5b2405bf145a628b2c0ebdea4e3d3,stuck,0,tower,boss_retry_cap,400,200,40,143,78,65,510,81,62,193,0,0,10,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,219,13140,143,5281,23,6400,5,1100,9089,3253,,,,80,[object Object],276,28,6,3,23,3,トゲホッグ Lv26 / つぼみラビ Lv28 / ぷるミン Lv27,"[object Object],[object Object],[object Object]",4,16669,16393,0.9834423180754694,1,3365,control
14,balanced,バランス,2906828525,3c78a8a21cd37c61d72ecffdc4d54e0e8f63bcb215b9d1671ddbc438a53fdd0a,completed,1,,,400,200,40,109,68,41,505,73,36,126,22,1,22,0,0,0,0,0,17,6,0,0,1,1,6,[object Object],[object Object],0,0,0,7,148,8880,109,5589,26,6980,5,1100,7215,4778,,,,80,[object Object],1717,23,6,7,24,7,クリスタゴン Lv22 / ギアビット Lv22 / アクアン Lv23,"[object Object],[object Object],[object Object]",5,15375,13658,0.8883252032520326,1,2987,control
15,collector,収集・配合,335841158,c312a28ce3c5e778cb9031cdb8010bb04b86287638ba1f22cc6e553f13ac6276,completed,1,,,400,200,40,177,121,56,1212,123,54,180,25,1,86,0,1,0,0,0,28,12,92,4600,93,77,10,[object Object],[object Object],0,0,0,10,111,6660,177,9377,28,8780,6,1550,11416,9344,,,,80,[object Object],1222,24,7,13,24,13,グルーモス Lv24 / ルーメンオウル Lv23 / ルミネル Lv24,"[object Object],[object Object],[object Object]",5,21826,20604,0.944011729130395,0.8279569892473119,6164,control
16,rush,速攻,2582694838,ceb9eb5732322d4210706fc6dcd4aa0023db3c278e04fde49e9912d21b1a89f3,stuck,0,tower,boss_retry_cap,400,200,40,181,97,84,642,100,81,242,0,0,10,0,0,0,0,0,4,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,232,13920,181,7159,23,6400,5,1100,10202,3573,,,,80,[object Object],289,28,6,3,24,3,アワマリン Lv27 / リーフリン Lv28 / ぷるミン Lv28,"[object Object],[object Object],[object Object]",4,17782,17493,0.9837476099426387,1,4231,control
17,balanced,バランス,1645903997,b2adbf7809fa77e142a32b5d5b46d87a1e88b369c4ca7ee57a74f296f13023b7,completed,1,,,400,200,40,60,37,23,275,41,19,55,19,1,23,0,0,0,0,0,19,5,0,0,1,1,4,[object Object],[object Object],0,0,0,6,94,5640,60,2430,26,7940,4,750,3336,3170,,,,80,[object Object],3296,20,5,6,24,6,クラッグベア Lv17 / シンダーホーン Lv17 / ドリモール Lv20,"[object Object],[object Object],[object Object]",5,12106,8810,0.7277383115810342,1,1595,control
18,collector,収集・配合,456352518,bc238c276b17abc8f3bd78831b5dec9b20314a6c1d95d7108a53e0b7c5270834,completed,1,,,400,200,40,133,89,44,716,89,44,122,19,1,57,0,1,0,0,0,28,7,73,3650,74,60,5,[object Object],[object Object],0,0,0,8,79,4740,133,5019,27,8180,5,1100,9431,8580,,,,80,[object Object],1821,24,6,8,21,8,ルーメンオウル Lv23 / グルーモス Lv24 / アッシュインプ Lv23,"[object Object],[object Object],[object Object]",5,18791,16970,0.903091905699537,0.8108108108108109,3869,control
19,rush,速攻,3652542402,313f4bb2b232191fdef2780cd0d5a5a8664b84b3351552fa12e9f034d9e8b6a7,stuck,0,tower,boss_retry_cap,400,200,40,180,97,83,669,99,81,271,0,0,13,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,231,13860,180,10652,23,6400,5,1100,10315,3737,,,,80,[object Object],298,28,6,3,24,3,プフバット Lv27 / リーフリン Lv28 / ぷるミン Lv28,"[object Object],[object Object],[object Object]",4,17895,17597,0.9833473037161218,1,4298,control
20,balanced,バランス,1582503644,b27e46d707e7f1c3c33507315bab9a778bdc0d9bf55db7703318fc9085e59e40,completed,1,,,400,200,40,105,66,39,434,69,36,113,18,1,23,0,0,0,0,0,8,5,0,0,1,1,5,[object Object],[object Object],0,0,0,6,149,8940,105,5026,26,6980,5,1100,6843,4353,,,,80,[object Object],1710,23,6,6,24,6,グルーモス Lv22 / クリスタゴン Lv20 / ギアビット Lv23,"[object Object],[object Object],[object Object]",5,15003,13293,0.8860227954409118,1,2669,control
21,collector,収集・配合,3491240213,015fae6ff45311195c4b9ff995b8f789e0f395e826ff76cd5235534f5b3cd032,completed,1,,,400,200,40,152,101,51,799,108,44,131,19,1,24,0,0,0,0,0,39,10,80,4000,81,72,8,[object Object],[object Object],0,0,0,9,126,7560,152,5719,29,9680,5,1100,9882,7974,,,,80,[object Object],1208,26,6,11,23,11,グルーモス Lv26 / クリスタゴン Lv23 / ルミネル Lv24,"[object Object],[object Object],[object Object]",5,20742,19534,0.9417606788159291,0.8888888888888888,4500,control
22,rush,速攻,3179506433,27e0d20068de3149ca904937467bff4084395a75bce80229d245d8817ed9651d,stuck,0,tower,boss_retry_cap,400,200,40,165,91,74,611,90,75,197,0,0,9,0,0,0,0,0,3,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,204,12240,165,6159,23,6400,5,1100,8579,3644,,,,80,[object Object],275,27,6,3,21,3,ドリモール Lv26 / アワマリン Lv26 / ぷるミン Lv27,"[object Object],[object Object],[object Object]",4,16159,15884,0.9829816201497618,1,3929,control
23,balanced,バランス,1683384677,ec576e379ba335a2a13058bf4a7824855fc900d6966d317ef6cacfc297a94bae,completed,1,,,400,200,40,77,47,30,361,52,25,93,14,1,17,0,0,0,0,0,15,6,0,0,1,1,6,[object Object],[object Object],0,0,0,7,121,7260,77,4409,26,6980,4,750,5187,4285,,,,80,[object Object],1452,22,5,7,21,7,グルーモス Lv21 / ルミネル Lv22 / ドリモール Lv22,"[object Object],[object Object],[object Object]",5,12997,11545,0.8882819112102793,1,2124,control
24,collector,収集・配合,4273375322,ab58bc2946b5f23cf6ccd315a4ccf9727a54f836bbb6117c3c73580cf828329d,completed,1,,,400,200,40,119,74,45,659,79,40,140,16,1,59,0,1,0,0,0,25,11,55,2750,56,45,10,[object Object],[object Object],0,0,0,10,78,4680,119,6394,27,7580,5,1100,6987,7135,,,,80,[object Object],1182,21,6,12,24,12,ルーメンオウル Lv21 / グルーモス Lv21 / クリスタゴン Lv20,"[object Object],[object Object],[object Object]",5,15747,14565,0.9249380834444656,0.8035714285714286,3595,control
25,rush,速攻,3208915154,fe5cec08e0067b978d07831ab46ac3fc9b71e24bd0e037f755cac676330ad80b,stuck,0,tower,boss_retry_cap,400,200,40,184,102,82,649,98,86,208,0,0,9,0,0,0,0,0,3,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,220,13200,184,6525,23,6400,5,1100,9388,3458,,,,80,[object Object],310,28,6,3,23,3,ペブロン Lv27 / アッシュインプ Lv24 / ぷるミン Lv28,"[object Object],[object Object],[object Object]",4,16968,16658,0.9817303158887317,1,4269,control
26,balanced,バランス,754191235,bc932915ab3811d76b2614c3dd5f149b321f03e50f5df2ef92ad611f52fa5c43,completed,1,,,400,200,40,69,43,26,269,49,20,51,19,1,16,0,0,0,0,0,13,6,0,0,1,1,4,[object Object],[object Object],0,0,0,7,125,7500,69,2606,27,8180,4,750,4475,3648,,,,80,[object Object],2337,22,5,7,22,7,クラッグベア Lv19 / ドリモール Lv22 / アッシュインプ Lv19,"[object Object],[object Object],[object Object]",5,13485,11148,0.8266963292547275,1,1706,control
27,collector,収集・配合,579711204,126ea2b8361ee3ff4eef81ad0d2ff07743299610d045d158c70bcb6f1400c1f2,completed,1,,,400,200,40,133,86,47,672,92,41,132,17,1,25,0,0,0,0,0,21,10,64,3200,65,56,8,[object Object],[object Object],0,0,0,10,108,6480,133,5633,28,8780,5,1100,8616,7085,,,,80,[object Object],1811,24,6,11,25,11,ルミネル Lv23 / グルーモス Lv22 / シンドレイク Lv24,"[object Object],[object Object],[object Object]",5,18576,16765,0.9025086132644272,0.8615384615384616,3841,control
28,rush,速攻,2854032737,40fb83e53fe7ed6b65b6a52739678fb95a486b85b445b56ed241a7db23628cd6,stuck,0,tower,boss_retry_cap,400,200,40,157,87,70,625,86,71,223,0,0,10,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,214,12840,157,10071,23,6400,5,1100,9210,3649,,,,80,[object Object],301,27,6,3,25,3,トゲホッグ Lv26 / プフバット Lv27 / ぷるミン Lv27,"[object Object],[object Object],[object Object]",4,16790,16489,0.9820726622989875,1,3898,control
29,balanced,バランス,2984241125,d88535771312673b7830acf3a650820d9eaf77d83973b1651e86975b6d73502c,completed,1,,,400,200,40,79,49,30,359,51,28,75,15,1,20,0,0,0,0,0,7,5,0,0,1,1,5,[object Object],[object Object],0,0,0,6,114,6840,79,3278,26,6980,4,750,4267,3789,,,,80,[object Object],1448,21,5,6,22,6,シンダーホーン Lv18 / クリスタゴン Lv18 / ドリモール Lv21,"[object Object],[object Object],[object Object]",5,12077,10629,0.8801026745052579,1,2135,control
30,collector,収集・配合,3642788030,1c94c14e7b258144c648e978f3d6bf575292fdfd0a58d6026507e8cda15bfdbf,completed,1,,,400,200,40,108,68,40,628,71,37,123,21,1,43,0,0,0,0,0,38,11,51,2550,52,41,9,[object Object],[object Object],0,0,0,11,58,3480,108,5804,28,8780,5,1100,5876,7795,,,,80,[object Object],2011,20,6,12,24,12,ルーメンオウル Lv18 / グルーモス Lv20 / シンダーホーン Lv19,"[object Object],[object Object],[object Object]",5,15836,13825,0.8730108613286184,0.7884615384615384,3290,control
31,rush,速攻,318829685,57c87047ccaddfcf4168851460c4c26239cdaee9b11f479f070871b237b5b8f0,completed,1,,,400,200,40,125,69,56,461,72,53,169,0,0,10,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,200,12000,125,5605,24,7200,5,1100,8538,3011,,,,80,[object Object],1907,27,6,3,21,3,ドリモール Lv26 / ぷるミン Lv27 / つぼみラビ Lv26,"[object Object],[object Object],[object Object]",5,16918,15011,0.8872798203097293,1,2992,control
32,balanced,バランス,1139593752,457444f6f6d516905dbf95d62584b1be801d0397ace178aedda7fa97d611344b,completed,1,,,400,200,40,98,62,36,419,67,31,98,17,1,16,0,0,0,0,0,12,7,0,0,1,1,5,[object Object],[object Object],0,0,0,8,147,8820,98,4255,27,8180,5,1100,6684,4622,,,,80,[object Object],2602,23,6,8,25,8,ルーメンオウル Lv21 / ギアビット Lv23 / リーファウル Lv23,"[object Object],[object Object],[object Object]",5,16044,13442,0.8378209922712541,1,2576,control
33,collector,収集・配合,1509874162,46a97b742564512f125cfe993e46215b48c120f296f8a7ba4cef8a6258ba66a9,completed,1,,,400,200,40,84,51,33,432,56,28,83,21,1,22,0,0,0,0,0,19,10,42,2100,43,33,8,[object Object],[object Object],0,0,0,10,63,3780,84,3352,28,8780,4,750,4781,6675,,,,80,[object Object],1836,21,5,11,24,11,ルーメンオウル Lv21 / ルミネル Lv20 / シンダーホーン Lv20,"[object Object],[object Object],[object Object]",5,14391,12555,0.8724202626641651,0.7674418604651163,2434,control
34,rush,速攻,2882651352,ae545c82db8fdf83392587ee9384dafc50c3b4a7c05bdbc9e3accaa37bfcd8f7,stuck,0,tower,boss_retry_cap,400,200,40,145,79,66,523,82,63,190,0,0,12,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,218,13080,145,4694,23,6400,5,1100,8913,3145,,,,80,[object Object],268,27,6,3,23,3,ドリモール Lv27 / つぼみラビ Lv27 / ぷるミン Lv27,"[object Object],[object Object],[object Object]",4,16493,16225,0.9837506821075608,1,3433,control
35,balanced,バランス,2278153047,1c5a5a8ce6160057d7a69a2c29a1d1950194bec2e0f236aef88c8e4eff165d19,completed,1,,,400,200,40,103,66,37,443,67,36,89,7,1,22,0,0,0,0,0,23,5,0,0,1,1,4,[object Object],[object Object],1,3,0,5,127,7620,103,2728,28,8330,5,1100,6824,6068,,,,80,[object Object],2646,23,6,5,23,7,ルーメンオウル Lv22 / トゲホッグ Lv23 / つぼみラビ Lv21,"[object Object],[object Object],[object Object]",5,16334,13688,0.8380066119750215,1,2691,control
36,collector,収集・配合,2204992606,b070800bdffb75f27ab3289664dccfff50ccaa3505be687d943dd408122597e0,completed,1,,,400,200,40,107,65,42,518,71,36,110,20,1,19,0,0,0,0,0,36,10,50,2500,51,40,8,[object Object],[object Object],0,0,0,10,68,4080,107,4177,28,8780,5,1100,5853,7223,,,,80,[object Object],2010,21,6,11,24,11,クラッグベア Lv20 / クリスタゴン Lv21 / ルミネル Lv19,"[object Object],[object Object],[object Object]",5,15813,13803,0.8728893948017454,0.7843137254901961,2994,control
37,rush,速攻,1101767566,9c7931a29dbd2aed09a05b2aa7455ef45ab82498fcb05afdfaffbdc666d37ac5,stuck,0,volcano,boss_retry_cap,400,200,40,130,71,59,501,70,60,181,0,0,9,0,0,0,0,0,3,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,140,8400,130,4613,21,5020,4,750,5114,2330,,,,80,[object Object],234,23,5,3,19,3,ぷるミン Lv22 / つぼみラビ Lv22 / プフバット Lv23,"[object Object],[object Object],[object Object]",3,10964,10730,0.9786574242977015,1,3167,control
38,balanced,バランス,675778625,d6943fc01d0bb2c7afac03657d15be7f235c751530232f4bfb9015de1e66e528,completed,1,,,400,200,40,99,63,36,428,69,30,89,13,1,27,0,0,0,0,0,13,7,0,0,1,1,5,[object Object],[object Object],0,0,0,7,148,8880,99,5457,27,8180,5,1100,6441,4313,,,,80,[object Object],2608,23,6,8,24,8,クラッグベア Lv18 / シンドレイク Lv22 / アクアン Lv23,"[object Object],[object Object],[object Object]",5,15801,13193,0.8349471552433391,1,2607,control
39,collector,収集・配合,2958862769,6cbb0b1f15526f0b7df1c119574b414d6ee17245a531eec5dfa4fe85e6f7b9c4,completed,1,,,400,200,40,77,45,32,371,52,25,91,14,1,21,0,0,0,0,0,39,15,38,1900,39,28,12,[object Object],[object Object],0,0,0,12,67,4020,77,5407,29,9630,4,750,4532,7392,50,,,80,[object Object],1680,21,5,16,23,16,シンダーホーン Lv20 / クラッグベア Lv18 / ルミネル Lv21,"[object Object],[object Object],[object Object]",5,14992,13312,0.887940234791889,0.717948717948718,2192,control
40,rush,速攻,247603818,7c7a1155f1d21e2d31a8c58fea5b5d8e7bddcc308f355d7089dbfaf77f787406,stuck,0,tower,boss_retry_cap,400,200,40,139,79,60,508,76,63,181,0,0,10,0,0,0,0,0,3,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,212,12720,139,4552,23,6400,5,1100,8454,3011,,,,80,[object Object],303,27,6,3,23,3,ドリモール Lv26 / プフバット Lv27 / ぷるミン Lv26,"[object Object],[object Object],[object Object]",4,16034,15731,0.9811026568541849,1,3296,control
41,balanced,バランス,2259194182,01edbc7829d38029c59d66b44be14cbc152d417e3f36a537803cda252975b8f1,completed,1,,,400,200,40,137,87,50,616,92,45,140,11,1,22,0,0,0,0,0,11,5,0,0,1,1,5,[object Object],[object Object],0,0,0,6,189,11340,137,4476,27,7880,5,1100,8630,4943,,,,80,[object Object],1407,26,6,6,23,6,ルーメンオウル Lv24 / アクアン Lv26 / アッシュインプ Lv25,"[object Object],[object Object],[object Object]",5,17690,16283,0.920463538722442,1,3674,control
42,collector,収集・配合,4056034609,f497749af197e5c702bca348ad9e4160953f34433bacabedd76e5e6d77692d5e,completed,1,,,400,200,40,114,75,39,705,74,40,138,23,1,34,0,0,0,0,0,37,10,55,2750,56,40,8,[object Object],[object Object],0,0,0,11,68,4080,114,7209,28,8780,5,1100,6581,7726,,,,80,[object Object],1985,21,6,11,24,11,ルーメンオウル Lv17 / シンダーホーン Lv20 / シンドレイク Lv21,"[object Object],[object Object],[object Object]",5,16541,14556,0.8799951635330391,0.7142857142857143,3634,control
43,rush,速攻,3383715102,632d4a543f185e0f903d4066d70784b17044169a8b730e9c9dd6dfcc26131abb,stuck,0,volcano,boss_retry_cap,400,200,40,117,64,53,461,64,53,171,0,0,9,0,0,0,0,0,4,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,122,7320,117,5064,20,4320,4,750,4637,2201,,,,80,[object Object],266,22,5,3,16,3,つぼみラビ Lv21 / ぷるミン Lv21 / プフバット Lv22,"[object Object],[object Object],[object Object]",3,9787,9521,0.9728210891999591,1,2883,control
44,balanced,バランス,3674139432,d2b52e09742eea5fd4fddea5dc718bd20e22ef4294ef67da2454c02eca10e87a,completed,1,,,400,200,40,136,88,48,579,87,49,144,7,1,26,0,0,0,0,0,10,5,0,0,1,1,5,[object Object],[object Object],0,0,0,6,171,10260,136,4600,27,7880,5,1100,8549,5207,,,,80,[object Object],2142,25,6,6,25,6,ルーメンオウル Lv22 / アクアン Lv25 / アッシュインプ Lv25,"[object Object],[object Object],[object Object]",5,17609,15467,0.8783576580157874,1,3542,control
45,collector,収集・配合,3082657022,fa14a7f85341f6c9be8d1cefbc38d7b1eb5aeb297f00691423f801f9b044c40e,completed,1,,,400,200,40,84,51,33,391,56,28,96,19,1,21,0,0,0,0,0,26,11,39,1950,40,30,9,[object Object],[object Object],0,0,0,9,59,3540,84,4303,28,8780,4,750,4225,6499,,,,80,[object Object],1846,20,5,12,24,12,クリスタゴン Lv20 / クラッグベア Lv17 / シンドレイク Lv20,"[object Object],[object Object],[object Object]",5,13835,11989,0.866570292735815,0.75,2298,control
46,rush,速攻,1058439054,a223fcba32def16d0427d535b9889737b3383419f4742bdca1796a03f8d3bad0,stuck,0,tower,boss_retry_cap,400,200,40,146,80,66,547,82,64,188,0,0,9,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,213,12780,146,6991,23,6400,5,1100,8602,3072,,,,80,[object Object],330,27,6,3,24,3,ペブロン Lv26 / プフバット Lv27 / ぷるミン Lv27,"[object Object],[object Object],[object Object]",4,16182,15852,0.9796069707081942,1,3515,control
47,balanced,バランス,442031748,98755284990a3491c73188ed3c57dbc196261a4d6238c6864ca8bd44b9c02645,completed,1,,,400,200,40,116,73,43,475,77,39,111,24,1,16,0,0,0,0,0,14,4,0,0,1,1,4,[object Object],[object Object],0,0,0,5,150,9000,116,4919,25,6720,5,1100,7194,4352,,,,80,[object Object],1742,24,6,5,25,5,ルーメンオウル Lv20 / ギアビット Lv22 / ペブロン Lv24,"[object Object],[object Object],[object Object]",5,15094,13352,0.8845899032728236,1,2938,control
48,collector,収集・配合,3931418186,27d9d600d37a418214578b915ed78adcdd67097cd14c63888e28a6222ea4629e,completed,1,,,400,200,40,122,79,43,599,84,38,126,25,1,23,0,0,0,0,0,42,10,60,3000,61,50,8,[object Object],[object Object],0,0,0,10,99,5940,122,6881,28,8780,5,1100,7474,7326,,,,80,[object Object],1168,22,6,11,23,11,クラッグベア Lv19 / グルーモス Lv20 / シンドレイク Lv22,"[object Object],[object Object],[object Object]",5,17434,16266,0.93300447401629,0.819672131147541,3450,control
49,rush,速攻,2837356501,581a1981c15747bb02200a6d1d010d0f08d9997eed0e440e0ec24c120f8a8a11,stuck,0,tower,boss_retry_cap,400,200,40,174,93,81,658,97,77,237,0,0,8,0,0,0,0,0,5,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,231,13860,174,10279,23,6400,5,1100,9827,3315,,,,80,[object Object],232,28,6,3,24,3,ヒノコぐま Lv26 / リーフリン Lv28 / ぷるミン Lv28,"[object Object],[object Object],[object Object]",4,17407,17175,0.9866720284942839,1,4216,control
