run,profile,profile_label,seed,status,completed,failed_stage,failure_reason,maxBattles,maxTurnsPerBattle,maxBossLosses,totalBattles,normalBattles,bossBattles,totalTurns,wins,losses,stalledBattles,timerOrTurnCaps,kos,guardTurns,maxGuardStreak,maxBattleTurns,guardLoopBattles,battles50Plus,battles100Plus,scoutAttempts,scoutSuccesses,zeroRewardScoutWins,scoutCharmPurchases,scoutCharmConsumed,scoutCharmWasted,charmWasteRate,fusions,fusionLevelDebt,levelRecoveryBattles,trainingBooks,trainingGold,freeHeals,questClaims,rankClaims,battleGold,questGold,rankGold,defeatGoldLost,goldInflow,goldSink,goldSinkRate,minGold,finalGold,finalHighestLevel,finalPlayerRank,firstBRankBattle,firstARankBattle,firstSRankBattle,finalOwned,finalDexDiscovered,finalDexScouted,bossesCleared,finalParty
50,balanced,バランス,4216932748,completed,1,,,1000,400,80,584,392,192,5500,381,203,0,0,635,105,1,158,0,32,11,70,11,11,0,1,1,1,0,0,0,2770,166200,584,43,10,203598,63480,4500,69595,271658,235795,0.8679847455256241,80,35863,90,11,450,450,,12,63,12,13,パールセラフ Lv86 / ルミネル Lv90 / サンラビ Lv84
51,collector,収集・配合,2401594579,completed,1,,,1000,400,80,505,343,162,6907,340,165,0,0,540,84,1,172,0,44,22,100,26,25,264,265,203,0.7660377358490567,0,0,0,2612,156720,505,44,10,201263,64330,4500,89326,270173,259246,0.9595555440403001,80,10927,89,11,170,312,,27,63,27,13,パールセラフ Lv87 / アビスジェリー Lv89 / ヘルナイト Lv83
52,rush,速攻,2110271330,stuck,0,tower,boss_retry_cap,1000,400,80,265,139,126,985,142,123,0,0,399,0,0,11,0,0,0,2,2,2,0,1,1,1,0,0,0,311,18660,265,23,6,16001,6400,1550,5053,24031,23713,0.9867670925055138,80,318,32,7,,,,3,22,3,4,プフバット Lv32 / リーフリン Lv32 / ぷるミン Lv32
53,balanced,バランス,1696652132,completed,1,,,1000,400,80,777,520,257,11688,516,261,0,0,852,124,1,235,0,83,18,77,14,13,0,1,1,1,0,0,0,3787,227220,777,44,11,339985,64330,5600,153317,409995,380537,0.9281503432968695,80,29458,100,12,,,,15,64,15,13,コーラルルーメ Lv100 / ルミネル Lv100 / クリスタゴン Lv100
54,collector,収集・配合,33250429,completed,1,,,1000,400,80,635,443,192,9837,443,192,0,0,737,117,1,222,0,46,38,93,25,23,348,349,294,0.8424068767908309,1,43,0,3408,204480,635,45,11,265927,64480,5600,103401,336087,325281,0.9678476108864669,80,10806,91,12,168,561,,25,64,26,13,ドゥームゲイザー Lv80 / アビスジェリー Lv83 / コーラルルーメ Lv91
55,rush,速攻,3288152049,stuck,0,prism_sanctuary,boss_retry_cap,1000,400,80,561,293,268,1965,299,262,0,0,814,0,0,10,0,0,0,3,2,2,0,1,1,1,0,0,0,1240,74400,561,28,9,74114,12500,3550,15341,90244,89741,0.9944262222419219,80,503,59,10,,,,3,33,3,7,ドリモール Lv57 / つぼみラビ Lv59 / ぷるミン Lv59
56,balanced,バランス,3125635712,stuck,0,demon_gate,boss_retry_cap,1000,400,80,877,583,294,11685,591,286,0,0,952,194,1,76,0,112,0,52,11,10,0,1,1,1,0,0,0,3999,239940,877,40,12,390987,41780,6850,181998,439697,421938,0.9596108229075931,80,17759,100,13,,,,12,55,12,11,ルミネル Lv100 / アイスタートル Lv100 / アイアンマンティス Lv100
57,collector,収集・配合,1059212414,stuck,0,demon_gate,boss_training_campaign_cap,1000,400,80,1000,738,262,31319,732,268,0,0,973,163,1,315,0,138,109,79,27,25,615,616,568,0.922077922077922,2,64,62,3626,217560,1000,43,13,438331,49780,8250,223884,496441,472194,0.9511583451004249,80,24247,100,14,474,,,26,58,30,11,アビスジェリー Lv100 / コーラルルーメ Lv100 / ルミネル Lv100
58,rush,速攻,2839222935,stuck,0,tower,boss_retry_cap,1000,400,80,256,135,121,924,137,119,0,0,403,0,0,11,0,0,0,2,2,2,0,1,1,1,0,0,0,311,18660,256,23,6,15822,6400,1550,4901,23852,23561,0.9877997652188496,80,291,32,7,,,,3,24,3,4,プフバット Lv31 / つぼみラビ Lv32 / ぷるミン Lv32
59,balanced,バランス,2540941378,completed,1,,,1000,400,80,465,315,150,2648,303,162,0,0,482,67,1,131,0,8,2,65,13,11,0,1,1,1,0,0,0,2253,135180,465,43,10,161335,63480,4500,63733,229395,198913,0.8671200331306262,80,30482,76,11,150,405,,14,59,14,13,パールセラフ Lv74 / ドゥームゲイザー Lv76 / ゲイルグリフ Lv76
60,collector,収集・配合,3583594984,completed,1,,,1000,400,80,586,406,180,4295,397,189,0,0,674,114,1,152,0,11,9,124,18,16,328,329,265,0.8054711246200608,1,21,0,3100,186000,586,45,11,249951,64480,5600,106217,320111,308617,0.9640937049960795,80,11494,98,12,165,,,18,61,19,13,ヘルナイト Lv87 / 雲ぷる Lv88 / ヨミオオカミ Lv98
61,rush,速攻,4141320841,stuck,0,tower,boss_retry_cap,1000,400,80,239,126,113,865,129,110,0,0,336,0,0,11,0,0,0,2,2,2,0,1,1,1,0,0,0,292,17520,239,23,6,14509,6400,1550,4746,22539,22266,0.9878876613869293,80,273,32,7,,,,3,24,3,4,ペブロン Lv31 / プフバット Lv32 / ぷるミン Lv32
62,balanced,バランス,2133418916,completed,1,,,1000,400,80,443,292,151,1694,301,142,0,0,492,120,1,16,0,0,0,51,12,11,0,1,1,1,0,0,0,3167,190020,443,43,10,195914,63480,4500,58402,263974,248422,0.9410851068665853,80,15552,93,11,127,,,13,63,13,13,サンラビ Lv83 / アビスフィン Lv86 / ヨミオオカミ Lv93
63,collector,収集・配合,539941432,stuck,0,demon_gate,boss_stalled,1000,400,80,801,582,219,36959,545,255,1,1,892,176,1,400,0,205,169,88,25,23,436,437,372,0.851258581235698,1,34,0,3810,228600,801,43,12,297894,49780,6850,100362,354604,350762,0.9891653788451343,80,3842,99,13,237,244,,25,56,27,11,コーラルルーメ Lv98 / ルーメンオウル Lv97 / アビスジェリー Lv99
64,rush,速攻,1412046738,stuck,0,tower,boss_retry_cap,1000,400,80,267,140,127,992,143,124,0,0,398,0,0,10,0,0,0,2,2,2,0,1,1,1,0,0,0,319,19140,267,23,6,16507,6400,1550,5149,24537,24289,0.9898928149325509,80,248,33,7,,,,3,24,3,4,リーフリン Lv32 / つぼみラビ Lv33 / ぷるミン Lv33
65,balanced,バランス,2531659617,stuck,0,prism_sanctuary,boss_retry_cap,1000,400,80,491,330,161,1989,323,168,0,0,512,43,1,39,0,0,0,32,10,9,0,1,1,1,0,0,0,1435,86100,491,33,9,93356,15980,3550,25692,112966,111792,0.9896074925198732,80,1174,64,10,246,,,11,36,11,7,スノーフェア Lv61 / グルーモス Lv63 / ドリモール Lv64
66,collector,収集・配合,1236001597,stuck,0,deep_sea_temple,campaign_battle_cap_at_boss,1000,400,80,1000,813,187,14988,451,549,0,0,1333,143,1,216,0,128,29,106,21,19,343,344,299,0.8691860465116279,1,24,0,2250,135000,1000,41,11,172889,40380,5600,63744,218949,215894,0.9860469789768394,8,3055,80,12,238,239,,21,52,23,10,ルーメンオウル Lv80 / アビスジェリー Lv64 / コーラルルーメ Lv68
67,rush,速攻,197220494,stuck,0,tower,boss_retry_cap,1000,400,80,300,158,142,1155,158,142,0,0,461,0,0,10,0,0,0,3,2,2,0,1,1,1,0,0,0,316,18960,300,23,6,16999,6400,1550,5783,25029,24743,0.9885732550241719,80,286,33,7,,,,3,25,3,4,リーフリン Lv33 / プフバット Lv32 / ぷるミン Lv33
68,balanced,バランス,3099952771,completed,1,,,1000,400,80,639,425,214,20885,426,213,0,0,709,107,1,400,0,76,64,58,14,14,0,1,1,1,1,10,0,4079,244740,639,45,11,302599,64480,5600,100682,372759,345422,0.9266630718507132,80,27337,100,12,157,,,14,64,16,13,アビスジェリー Lv100 / ルーメンオウル Lv100 / 雲ぷる Lv91
69,collector,収集・配合,2836346552,completed,1,,,1000,400,80,640,447,193,13878,434,206,0,0,697,103,1,263,0,97,47,97,30,29,350,351,288,0.8205128205128205,1,47,0,2913,174780,640,45,11,239186,64480,5600,103872,309346,296152,0.957348729254621,80,13194,91,12,336,610,,30,64,32,13,ドゥームゲイザー Lv73 / ストームジン Lv71 / ルーメンオウル Lv91
70,rush,速攻,2047533069,stuck,0,prism_sanctuary,boss_retry_cap,1000,400,80,499,264,235,1803,266,233,0,0,730,0,0,8,0,0,0,3,2,2,0,1,1,1,0,0,0,1191,71460,499,28,8,71209,12500,2750,14580,86539,86040,0.9942338136562706,80,499,58,9,,,,3,34,3,7,ドリモール Lv55 / つぼみラビ Lv58 / ぷるミン Lv58
